,Artist,Rating,Song,Year
63,Tom Jones,64,It’s Not Unusual,1965
64,Sir Douglas Quintet,65,She’s About A Mover,1965
65,Sam Cooke,66,Shake,1965
66,Herman’s Hermits,67,Wonderful World,1965
67,Martha and The Vandellas,68,Nowhere To Run,1965
68,Yardbirds,69,Heart Full Of Soul,1965
69,Searchers,70,Love Potion Number Nine,1965
70,Dickle Lee,71,Laurie (Strange Things Happen),1965
71,Sonny and Cher,72,Baby Don’t Go,1965
72,Turtles,73,It Ain’t Me Babe,1965
73,Zombies,74,Tell Her No,1965
74,Peter and Gordon,75,I Go To Pieces,1965
75,Vic Dana,76,Red Roses For A Blue Lady,1965
76,Patty Duke,77,Don’t Just Stand There,1965
77,Miracles,78,The Tracks Of My Tears,1965
78,Brenda Lee,79,Too Many Rivers,1965
79,Dave Clark Five,80,I Like It Like That,1965
80,Bobby Goldsboro,81,Little Things,1965
81,Peter and Gordon,82,True Love Ways,1965
82,Four Tops,83,It’s The Same Old Song,1965
83,Fortunes,84,You’ve Got Your Troubles,1965
84,Joe Tex,85,Hold What You’ve Got,1965
85,Animals,86,We Gotta Get Out Of This Place,1965
86,Beau Brummels,87,"Laugh, Laugh",1965
87,Rolling Stones,88,The Last Time,1965
88,Lovin’ Spoonful,89,Do You Believe In Magic,1965
89,Cher,90,All I Really Want To Do,1965
90,Little Anthony and The Imperials,91,Take Me Back,1965
91,Strangeloves,92,I Want Candy,1965
92,Miracles,93,Ooo Baby Baby,1965
93,Sonny,94,Laugh At Me,1965
94,Roy Head,95,Treat Her Right,1965
95,Jack Jones,96,The Race Is On,1965
96,"Dino, Desi and Billy",97,I’m A Fool,1965
97,Ad Libs,98,The Boy From New York City,1965
98,Del Shannon,99,Keep Searchin’,1965
99,Marvin Gaye,100,How Sweet It Is (To Be Loved By You),1965
0,Sgt. Barry Sadler,1,The Ballad Of The Green Berets,1966
1,Association,2,Cherish,1966
2,Righteous Brothers,3,(You’re My) Soul And Inspiration,1966
3,Four Tops,4,Reach Out I’ll Be There,1966
4,? and The Mysterians,5,96 Tears,1966
5,Monkees,6,Last Train To Clarksville,1966
6,Mama’s and The Papa’s,7,"Monday, Monday",1966
7,Supremes,8,You Can’t Hurry Love,1966
8,Johnny Rivers,9,Poor Side Of Town,1966
9,Mama’s and The Papa’s,10,California Dreamin’,1966
10,Lovin’ Spoonful,11,Summer In The City,1966
11,Roger Williams,12,Born Free,1966
12,Nancy Sinatra,13,These Boots Are Made For Walkin’,1966
13,Jimmy Ruffin,14,What Becomes Of The Brokenhearted,1966
14,Frank Sinatra,15,Strangers In The Night,1966
15,Beatles,16,We Can Work It Out,1966
16,Young Rascals,17,Good Lovin’,1966
17,New Vaudeville Band,18,Winchester Cathedral,1966
18,Tommy James and The Shondells,19,Hanky Panky,1966
19,Percy Sledge,20,When A Man Loves A Woman,1966
20,Rolling Stones,21,Paint It Black,1966
21,Petula Clark,22,My Love,1966
22,Lou Christie,23,Lightin’ Strikes,1966
23,Troggs,24,Wild Thing,1966
24,Paul Revere and The Raiders,25,Kicks,1966
25,Donovan,26,Sunshine Superman,1966
26,Bobby Hebb,27,Sunny,1966
27,Beatles,28,Paperback Writer,1966
28,Happenings,29,See You In September,1966
29,Supremes,30,You Keep Me Hangin’ On,1966
30,Sam The Sham and The Pharaohs,31,Lil’ Red Riding Hood,1966
31,Mitch Ryder and The Detroit Wheels,32,Devil With A Blue Dress On and Good Golly Miss Molly (Medley),1966
32,Beach Boys,33,Good Vibrations,1966
33,Mindbenders,34,A Groovy Kind Of Love,1966
34,Dusty Springfield,35,You Don’t Have To Say You Love Me,1966
35,The Capitols,36,Cool Jerk,1966
36,Sandy Posey,37,Born A Woman,1966
37,Cyrkle,38,Red Rubber Ball,1966
38,Carla Thomas,39,B-A-B-Y,1966
39,Left Banke,40,Walk Away Renee,1966
40,Lovin’ Spoonful,41,Daydream,1966
41,Outsiders,42,Time Won’t Let Me,1966
42,Tommy Roe,43,Hooray For Hazel,1966
43,Tommy Roe,44,Sweet Pea,1966
44,Hollies,45,Bus Stop,1966
45,James and Bobby Purify,46,I’m Your Puppet,1966
46,B.J. Thomas and The Triumphs,47,I’m So Lonesome I Could Cry,1966
47,Temptations,48,Ain’t Too Proud To Beg,1966
48,Standells,49,Dirty Water,1966
49,Bob Lind,50,Elusive Butterfly,1966
50,Simon and Garfunkel,51,I Am A Rock,1966
51,Ray Charles,52,Crying Time,1966
52,Johnny Rivers,53,Secret Agent Man,1966
53,Simon and Garfunkel,54,The Sounds Of Silence,1966
54,Peter and Gordon,55,Lady Godiva,1966
55,Simon and Garfunkel,56,Homeward Bound,1966
56,Lovin’ Spoonful,57,Did You Ever Have To Make Up Your Mind?,1966
57,Robert Parker,58,Barefootin’,1966
58,Stevie Wonder,59,Uptight (Everything’s Alright),1966
59,Cher,60,Bang Bang,1966
60,Beach Boys,61,Sloop John B,1966
61,Rolling Stones,62,19th Nervous Breakdown,1966
62,The Surfaris,63,Wipe Out,1966
63,Count Five,64,Psychotic Reaction,1966
64,Temptations,65,Beauty Is Only Skin Deep,1966
65,T-Bones,66,No Matter What Shape (Your Stomach Is In),1966
66,Paul Revere and The Raiders,67,Just Like Me,1966
67,Deon Jackson,68,Love Makes The World Go Round,1966
68,Crispian St. Peters,69,The Pied Piper,1966
69,Brenda Lee,70,Coming On Strong,1966
70,Ray Conniff and The Singers,71,Somewhere My Love,1966
71,David Houston,72,Almost Persuaded,1966
72,Bobby Darin,73,If I Were A Carpenter,1966
73,Marvelettes,74,Don’t Mess With Bill,1966
74,Neil Diamond,75,"Cherry, Cherry",1966
75,Lee Dorsey,76,Working In The Coal Mine,1966
76,Dionne Warwick,77,Message To Michael,1966
77,Lou Rawls,78,Love Is A Hurtin’ Thing,1966
78,Beach Boys,79,Barbara Ann,1966
79,Shadows Of Knight,80,Gloria,1966
80,Supremes,81,My World Is Empty Without You,1966
81,Bob Dylan,82,Rainy Day Women #12 And 35,1966
82,Sandpipers,83,Guantanamera,1966
83,Wilson Pickett,84,"Land Of 1,000 Dances",1966
84,Shades Of Blue,85,Oh How Happy,1966
85,Peter and Gordon,86,Woman,1966
86,Turtles,87,You Baby,1966
87,Vogues,88,Five O’clock World,1966
88,Los Bravos,89,Black Is Black,1966
89,Beatles,90,Nowhere Man,1966
90,Herman’s Hermits,91,Dandy,1966
91,Slim Harpo,92,Baby Scratch My Back,1966
92,Gary Lewis and The Playboys,93,She’s Just My Style,1966
93,Chris Montez,94,The More I See You,1966
94,Bobby Fuller Four,95,I Fought The Law,1966
95,Beatles,96,Yellow Submarine,1966
96,Paul Revere and The Raiders,97,Hungry,1966
97,Herb Alpert and The Tijuana Brass,98,Zorba The Greek,1966
98,Yardbirds,99,Shapes Of Things,1966
99,Wilson Pickett,100,634-5789,1966
0,Lulu,1,To Sir With Love,1967
1,Box Tops,2,The Letter,1967
2,Bobby Gentry,3,Ode To Billie Joe,1967
3,Association,4,Windy,1967
4,Monkees,5,I’m A Believer,1967
5,Doors,6,Light My Fire,1967
6,Nancy Sinatra and Frank Sinatra,7,Somethin’ Stupid,1967
7,Turtles,8,Happy Together,1967
8,Young Rascals,9,Groovin’,1967
9,Frankie Valli,10,Can’t Take My Eyes Off You,1967
10,Music Explosion,11,Little Bit O’ Soul,1967
11,Tommy James and The Shondells,12,I Think We’re Alone Now,1967
12,Aretha Franklin,13,Respect,1967
13,Stevie Wonder,14,I Was Made To Love Her,1967
14,Bobby Vee and The Strangers,15,Come Back When You Grow Up,1967
15,Buckinghams,16,Kind Of A Drag,1967
16,Arthur Conley,17,Sweet Soul Music,1967
17,Soul Survivors,18,Expressway To Your Heart,1967
18,Sam and Dave,19,Soul Man,1967
19,Association,20,Never My Love,1967
20,Jay and The Techniques,21,"Apples, Peaches, Pumpkin Pie",1967
21,Every Mothers’ Son,22,Come On Down To My Boat,1967
22,Strawberry Alarm Clock,23,Incense And Peppermints,1967
23,Rolling Stones,24,Ruby Tuesday,1967
24,Vicki Carr,25,It Must Be Him,1967
25,Brenton Wood,26,Gimme Little Sign,1967
26,Buffalo Springfield,27,For What It’s Worth,1967
27,Supremes,28,Love Is Here And Now You’re Gone,1967
28,Supremes,29,The Happening,1967
29,Beatles,30,All You Need Is Love,1967
30,Engelbert Humperdinck,31,Release Me (And Let Me Love Again),1967
31,Marvin Gaye and Tammi Terrell,32,Your Precious Love,1967
32,Jefferson Airplane,33,Somebody To Love,1967
33,Esquires,34,Get On Up,1967
34,Van Morrison,35,Brown Eyed Girl,1967
35,Martha and The Vandella,36,Jimmy Mack,1967
36,Happenings,37,I Got Rhythm,1967
37,Procol Harum,38,A Whiter Shade Of Pale,1967
38,Buckinghams,39,Don’t You Care,1967
39,Casinos,40,Then You Can Tell Me Goodbye,1967
40,Diana Ross and The Supremes,41,Reflections,1967
41,Hollies,42,On A Carousel,1967
42,Bobby Vinton,43,Please Love Me Forever,1967
43,Dionne Warwick,44,Alfie,1967
44,Tremeloes,45,Silence Is Golden,1967
45,Ed Ames,46,My Cup Runneth Over,1967
46,Fifth Dimension,47,"Up, Up And Away",1967
47,Scott Mckenzie,48,San Francisco,1967
48,Cowsills,49,"The Rain, The Park And Other Things",1967
49,Herman’s Hermits,50,There’s A Kind Of Hush,1967
50,Buckinghams,51,"Mercy, Mercy, Mercy",1967
51,Petula Clark,52,This Is My Song,1967
52,Jackie Wilson,53,(Your Love Keeps Lifting Me) Higher And Higher,1967
53,Young Rascals,54,I’ve Been Lonely Too Long,1967
54,Beatles,55,Penny Lane,1967
55,Temptations,56,You’re My Everything,1967
56,Seekers,57,Georgy Girl,1967
57,Five Americans,58,Western Union,1967
58,Aretha Franklin,59,Baby I Love You,1967
59,Monkees,60,"A Little Bit You, A Little Bit Me",1967
60,Lesley Gore,61,California Nights,1967
61,Mama’s and The Papa’s,62,Dedicated To The One I Love,1967
62,Young Rascals,63,How Can I Be Sure,1967
63,Hollies,64,Carrie Ann,1967
64,Blue Magoos,65,(We Ain’t Got) Nothin’ Yet,1967
65,Easy Beats,66,Friday On My Mind,1967
66,Bar-Kays,67,Soul Finger,1967
67,Spencer Davis Group,68,Gimme Some Lovin’,1967
68,Hombres,69,Let It Out (Let It All Hang Out),1967
69,Grass Roots,70,Let’s Live For Today,1967
70,Peaches and Herb,71,Close Your Eyes,1967
71,Booker T and The MG’s,72,Groovin’,1967
72,Wilson Pickett,73,Funky Broadway,1967
73,Monkees,74,Pleasant Valley Sunday,1967
74,Aretha Franklin,75,I Never Loved A Man (The Way I Love You),1967
75,Aaron Neville,76,Tell It Like It Is,1967
76,James Brown and The Famous Flames,77,Cold Sweat,1967
77,Turtles,78,She’d Rather Be With Me,1967
78,Keith,79,98.6,1967
79,Ray Charles,80,Here We Go Again,1967
80,Jefferson Airplane,81,White Rabbit,1967
81,Four Tops,82,Bernadette,1967
82,Sonny and Cher,83,The Beat Goes On,1967
83,Royal Guardsmen,84,Snoopy Vs. The Red Baron,1967
84,Janis Ian,85,Society’s Child,1967
85,Neil Diamond,86,"Girl, You’ll Be A Woman Soon",1967
86,Marvin Gaye and Tammi Terrell,87,Ain’t No Mountain High Enough,1967
87,Sandy Posey,88,I Take It Back,1967
88,Tremeloes,89,Here Comes My Baby,1967
89,Robert Knight,90,Everlasting Love,1967
90,"Peter, Paul and Mary",91,I Dig Rock And Roll Music,1967
91,Bill Cosby,92,Little Ole Man (Uptight-Everything’s Alright),1967
92,Electric Prunes,93,I Had Too Much To Dream Last Night,1967
93,Monkees,94,Daydream Believer,1967
94,Johnny Rivers,95,Baby I Need Your Lovin’,1967
95,Who,96,I Can See For Miles,1967
96,Tommy James and The Shondells,97,Mirage,1967
97,Tom Jones,98,"Green, Green Grass Of Home",1967
98,Petula Clark,99,Don’t Sleep In The Subway,1967
99,Neil Diamond,100,Thank The Lord For The Night Time,1967
0,Beatles,1,Hey Jude,1968
1,Paul Mauriat,2,Love Is Blue,1968
2,Bobby Goldsboro,3,Honey,1968
3,Otis Redding,4,(Sittin’ On) The Dock Of The Bay,1968
4,Rascals,5,People Got To Be Free,1968
5,Cream,6,Sunshine Of Your Love,1968
6,Herb Alpert,7,This Guy’s In Love With You,1968
7,Hugo Montenegro,8,"The Good, The Bad And The Ugly",1968
8,Simon and Garfunkel,9,Mrs. Robinson,1968
9,Archie Bell and The Drells,10,Tighten Up,1968
10,Jeannie C. Riley,11,Harper Valley P.T.A.,1968
11,O.C. Smith,12,Little Green Apples,1968
12,Tommy James and The Shondells,13,"Mony, Mony",1968
13,Doors,14,"Hello, I Love You",1968
14,Gary Puckett and The Union Gap,15,Young Girl,1968
15,Box Tops,16,Cry Like A Baby,1968
16,Fifth Dimension,17,Stoned Soul Picnic,1968
17,Hugh Masekela,18,Grazing In The Grass,1968
18,Grass Roots,19,Midnight Confessions,1968
19,Sly and The Family Stone,20,Dance To The Music,1968
20,Cliff Nobles and Co.,21,The Horse,1968
21,Temptations,22,I Wish It Would Rain,1968
22,Delfonics,23,La-La Means I Love You,1968
23,Vogues,24,"Turn Around, Look At Me",1968
24,John Fred and His Playboy Band,25,Judy In Disguise (With Glasses),1968
25,Classics IV,26,Spooky,1968
26,Diana Ross and The Supremes,27,Love Child,1968
27,Merrilee Rush,28,Angel Of The Morning,1968
28,Georgie Fame,29,The Ballad Of Bonnie And Clyde,1968
29,Mary Hopkin,30,Those Were The Days,1968
30,Steppenwolf,31,Born To Be Wild,1968
31,Intruders,32,Cowboys To Girls,1968
32,1910 Fruitgum Company,33,Simon Says,1968
33,Gary Puckett and The Union Gap,34,Lady Willpower,1968
34,Rascals,35,A Beautiful Morning,1968
35,Sergio Mendes and Brasil ’66,36,The Look Of Love,1968
36,Johnny Nash,37,Hold Me Tight,1968
37,Ohio Express,38,"Yummy, Yummy, Yummy",1968
38,Crazy World Of Arthur Brown,39,Fire,1968
39,Troggs,40,Love Is All Around,1968
40,Gene and Debbe,41,Playboy,1968
41,Dionne Warwick,42,(Theme From) Valley Of The Dolls,1968
42,Mason Williams,43,Classical Gas,1968
43,Clarence Carter,44,Slip Away,1968
44,O’Kaysions,45,Girl Watcher,1968
45,Aretha Franklin,46,(Sweet Sweet Baby) Since You’ve Been Gone,1968
46,Lemon Pipers,47,Green Tambourine,1968
47,1910 Fruitgum Company,48,"1, 2, 3, Red Light",1968
48,Friend and Lover,49,Reach Out Of The Darkness,1968
49,Rolling Stones,50,Jumpin’ Jack Flash,1968
50,Richard Harris,51,MacArthur Park,1968
51,Jose Feliciano,52,Light My Fire,1968
52,People,53,I Love You,1968
53,Percy Sledge,54,Take Time To Know Her,1968
54,Status Quo,55,Pictures Of Matchstick Men,1968
55,Blue Cheer,56,Summertime Blues,1968
56,Marvin Gaye and Tammi Terrell,57,Ain’t Nothing Like The Real Thing,1968
57,James Brown and The Famous Flames,58,I Got The Feelin’,1968
58,Bee Gees,59,I’ve Gotta Get A Message To You,1968
59,Beatles,60,Lady Madonna,1968
60,Donovan,61,Hurdy Gurdy Man,1968
61,Steppenwolf,62,Magic Carpet Ride,1968
62,Fireballs,63,Bottle Of Wine,1968
63,Dells,64,Stay In My Corner,1968
64,Willie Mitchell,65,Soul Serenade,1968
65,Tom Jones,66,Delilah,1968
66,Human Beinz,67,Nobody But Me,1968
67,Sam and Dave,68,I Thank You,1968
68,Sergio Mendes and Brasil ’66,69,The Fool On The Hill,1968
69,Eric Burdon and The Animals,70,Sky Pilot,1968
70,Cowsills,71,Indian Lake,1968
71,Tommy Boyce and Bobby Hart,72,I Wonder What She’s Doing Tonight,1968
72,Gary Puckett and The Union Gap,73,Over You,1968
73,Lettermen,74,Goin’ Out Of My Head / Can’t Take My Eyes Off You,1968
74,Stevie Wonder,75,Shoo-Bee-Doo-Be-Doo-Da-Day,1968
75,Irish Rovers,76,The Unicorn,1968
76,Vanilla Fudge,77,(You Keep Me) Hangin’ On,1968
77,Beatles,78,Revolution,1968
78,Gary Puckett and The Union Gap,79,"Woman, Woman",1968
79,Turtles,80,Elenore,1968
80,Cream,81,White Room,1968
81,Marvin Gaye and Tammi Terrell,82,You’re All I Need To Get By,1968
82,Foundations,83,"Baby, Now That I’ve Found You",1968
83,Sweet Inspirations,84,Sweet Inspiration,1968
84,Smokey Robinson and The Miracles,85,If You Can Want,1968
85,Mills Brothers,86,Cab Driver,1968
86,Chambers Brothers,87,Time Has Come Today,1968
87,Dionne Warwick,88,Do You Know The Way To San Jose,1968
88,Simon and Garfunkel,89,Scarborough Fair / Canticle,1968
89,James Brown and The Famous Flames,90,Say It Loud I’m Black And I’m Proud,1968
90,Manfred Mann,91,The Mighty Quinn,1968
91,Shorty Long,92,Here Comes The Judge,1968
92,Aretha Franklin,93,I Say A Little Prayer,1968
93,Aretha Franklin,94,Think,1968
94,Gary Lewis and The Playboys,95,Sealed With A Kiss,1968
95,Big Brother and The Holding Company,96,Piece Of My Heart,1968
96,Creedence Clearwater Revival,97,Suzie Q.,1968
97,American Breed,98,Bend Me Shape,1968
98,Jerry Butler,99,"Hey, Western Union Man",1968
99,Jerry Butler,100,Never Give You Up,1968
0,Archies,1,"Sugar, Sugar",1969
1,Fifth Dimension,2,Aquarius / Let The Sunshine In,1969
2,Temptations,3,I Can’t Get Next To You,1969
3,Rolling Stones,4,Honky Tonk Women,1969
4,Sly and The Family Stone,5,Everyday People,1969
5,Tommy Roe,6,Dizzy,1969
6,Sly and The Family Stone,7,Hot Fun In The Summertime,1969
7,Tom Jones,8,I’ll Never Fall In Love Again,1969
8,Foundations,9,Build Me Up Buttercup,1969
9,Tommy James and The Shondells,10,Crimson And Clover,1969
10,Three Dog Night,11,One,1969
11,Tommy James and The Shondells,12,Crystal Blue Persuasion,1969
12,Cowsills,13,Hair,1969
13,Marvin Gaye,14,Too Busy Thinking About My Baby,1969
14,Henry Mancini and His Orch.,15,Love Theme From Romeo And Juliet,1969
15,Youngbloods,16,Get Together,1969
16,Friends Of Distinction,17,Grazin’ In The Grass,1969
17,Elvis Presley,18,Suspicious Minds,1969
18,Creedence Clearwater Revival,19,Proud Mary,1969
19,Jr. Walker and The All Stars,20,What Does It Take (To Win Your Love),1969
20,Isley Brothers,21,It’s Your Thing,1969
21,Neil Diamond,22,Sweet Caroline,1969
22,Oliver,23,Jean,1969
23,Creedence Clearwater Revival,24,Bad Moon Rising,1969
24,Beatles,25,Get Back,1969
25,Zager and Evans,26,In The Year 2525,1969
26,"Blood, Sweat and Tears",27,Spinning Wheel,1969
27,Andy Kim,28,"Baby, I Love You",1969
28,Friends Of Distinction,29,Going In Circles,1969
29,Lettermen,30,Hurt So Bad,1969
30,Creedence Clearwater Revival,31,Green River,1969
31,Stevie Wonder,32,My Cherie Amour,1969
32,Three Dog Night,33,Easy To Be Hard,1969
33,Smith,34,Baby It’s You,1969
34,Elvis Presley,35,In The Ghetto,1969
35,Johnny Cash,36,A Boy Named Sue,1969
36,Smokey Robinson and The Miracles,37,"Baby, Baby Don’t Cry",1969
37,Jerry Butler,38,Only The Strong Survive,1969
38,Zombies,39,Time Of The Season,1969
39,Fifth Dimension,40,Wedding Bell Blues,1969
40,Bobby Sherman,41,Little Woman,1969
41,Mercy,42,Love (Can Make You Happy),1969
42,Oliver,43,Good Morning Starshine,1969
43,Guess Who,44,These Eyes,1969
44,"Blood, Sweat and Tears",45,You’ve Made Me So Very Happy,1969
45,Jackie DeShannon,46,Put A Little Love In Your Heart,1969
46,Watts 103rd Street Rhythm Band,47,Do Your Thing,1969
47,Grass Roots,48,I’d Wait A Million Years,1969
48,Doors,49,Touch Me,1969
49,Spiral Starecase,50,More Today Than Yesterday,1969
50,Sammy Davis Jr.,51,I’ve Gotta Be Me,1969
51,Bob Dylan,52,Lay Lady Lay,1969
52,Donovan,53,Atlantis,1969
53,Dennis Yost and The Classics IV,54,Traces,1969
54,Mama Cass Elliot,55,It’s Getting Better,1969
55,Jay and The Americans,56,This Magic Moment,1969
56,Temptations,57,"Run Away Child, Running Wild",1969
57,Ventures,58,Hawaii Five-O,1969
58,Glen Campbell,59,Galveston,1969
59,Lou Christie,60,I’m Gonna Make You Mine,1969
60,Ray Stevens,61,Gitarzan,1969
61,Tyrone Davis,62,Can I Change My Mind,1969
62,Booker T and The MG’s,63,Time Is Tight,1969
63,Dionne Warwick,64,This Girl’s In Love With You,1969
64,Winstons,65,Color Him Father,1969
65,"Sonny Charles and The Checkmates, Ltd.",66,Black Pearl,1969
66,1910 Fruitgum Company,67,Indian Giver,1969
67,James Brown,68,Mother Popcorn (Part I),1969
68,Edwin Starr,69,Twenty-five Miles,1969
69,New Colony Six,70,Things I’d Like To Say,1969
70,Motherlode,71,When I Die,1969
71,Marvin Gaye,72,That’s The Way Love Is,1969
72,Nilsson,73,Everybody’s Talkin’,1969
73,Brooklyn Bridge,74,Worst That Could Happen,1969
74,Joe Simon,75,Chokin’ Kind,1969
75,Flying Machine,76,Smile A Little Smile For Me,1969
76,Tony Joe White,77,Polk Salad Annie,1969
77,Kenny Rogers and The First Edition,78,"Ruby, Don’t Take Your Love To Town",1969
78,Joe South,79,Games People Play,1969
79,Turtles,80,You Showed Me,1969
80,Cuff Links,81,Tracy,1969
81,Dells,82,"Oh, What A Night",1969
82,Beatles,83,Something,1969
83,Gary Puckett and The Union Gap,84,This Girl Is A Woman Now,1969
84,Beatles,85,Come Together,1969
85,Seger System,86,Ramblin’ Gamblin’ Man Bob,1969
86,Diana Ross and The Supremes,87,I’m Gonna Make You Love Me,1969
87,Marvin Gaye,88,I Heard It Through The Grapevine,1969
88,Crazy Elephant,89,Gimme Gimme Good Lovin’,1969
89,Booker T and The MG’s,90,Hang ‘Em High,1969
90,Lou Rawls,91,Your Good Thing (Is About To End),1969
91,Originals,92,Baby I’m For Real,1969
92,Edwin Hawkins Singers,93,Oh Happy Day,1969
93,Tom Jones,94,Love Me Tonight,1969
94,Paul Revere and The Raiders,95,"Mr. Sun, Mr. Moon",1969
95,Guess Who,96,Laughing,1969
96,David Ruffin,97,My Whole World Ended (The Moment You Left Me),1969
97,Box Tops,98,Soul Deep,1969
98,B.J. Thomas,99,Hooked On A Feeling,1969
99,Box Tops,100,Sweet Cream Ladies,1969
0,Simon and Garfunkel,1,Bridge Over Troubled Water,1970
1,Carpenters,2,(They Long To Be) Close To You,1970
2,Guess Who,3,American Woman / No Sugar Tonight,1970
3,B.J. Thomas,4,Raindrops Keep Fallin’ On My Head,1970
4,Edwin Starr,5,War,1970
5,Diana Ross,6,Ain’t No Mountain High Enough,1970
6,Jackson 5,7,I’ll Be There,1970
7,Rare Earth,8,Get Ready,1970
8,Beatles,9,Let It Be,1970
9,Freda Payne,10,Band Of Gold,1970
10,Three Dog Night,11,Mama Told Me (Not To Come),1970
11,Ray Stevens,12,Everything Is Beautiful,1970
12,Bread,13,Make It With You,1970
13,Vanity Fair,14,Hitchin’ A Ride,1970
14,Jackson 5,15,ABC,1970
15,Jackson 5,16,The Love You Save / I Found That Girl,1970
16,Neil Diamond,17,Cracklin’ Rose,1970
17,Dawn,18,Candida,1970
18,Sly and The Family Stone,19,Thank You (Fallettin Me Be Mice Elf Again) / Everybody Is A Star,1970
19,Eric Burdon and War,20,Spill The Wine,1970
20,Five Stairsteps and Cubie,21,O-o-h Child / Dear Prudence,1970
21,Norman Greenbaum,22,Spirit In The Sky,1970
22,Melanie and The Edwin Hawkins Singers,23,Lay Down (Candles In The Rain),1970
23,Temptations,24,Ball Of Confusion (That’s What The World Is Today),1970
